product_id,product_no,product_owner,keyword,rank_product_position,rank_top1_product_position,rank_top1_product_id,is_ydt_product,is_window_product,is_p4p_keyword,is_selection_prodcut,keyword_company_count,keyword_window_products_count,keyword_pv_rank
60404513201,JDHB15042,Amy Wei,fashionable handbags for women,,1.19,60393709666,FALSE,FALSE,,FALSE,,,
60371978847,JDHB15003,Amy Wei,wholesale handbag china,1.28,1.28,60371978847,FALSE,FALSE,TRUE,FALSE,666,36,630
60371978847,JDHB15003,Amy Wei,wholesale guangzhou handbag,7.27,7.27,60371978847,FALSE,FALSE,TRUE,FALSE,118,0,60
60404709737,JDYB15021,Amy Wei,best wallets for men,1.09,1.09,60404709737,FALSE,FALSE,,FALSE,,,
60404709737,JDYB15021,Amy Wei,cool wallets for men,1.06,1.06,60404709737,FALSE,FALSE,,TRUE,,,
60404709737,JDYB15021,Amy Wei,best brand leather wallet,1.08,1.08,60404709737,FALSE,FALSE,,TRUE,,,
60414533113,JDLA15019,Amy Wei,suede belt,1.06,1.06,60414533113,TRUE,FALSE,FALSE,TRUE,52,1,17
60414533113,JDLA15019,Amy Wei,woman suede belt,1.02,1.02,60414533113,TRUE,FALSE,,TRUE,,,
60414533113,JDLA15019,Amy Wei,fashion suede belt,1.06,1.06,60414533113,TRUE,FALSE,,TRUE,,,
60418433024,JDHB15093,Amy Wei,custom-made leather bag handbags,1.08,1.08,60418433024,TRUE,FALSE,,FALSE,,,
60418433024,JDHB15093,Amy Wei,men leather handbag,,1.1,60408320756,TRUE,FALSE,,FALSE,,,
60418433024,JDHB15093,Amy Wei,cheap shoulder handbags,,3.24,60376810598,TRUE,FALSE,,FALSE,,,
60431277627,JDHB16005,Amy Wei,backpack teenagers girls,5.33,5.33,60431277627,FALSE,FALSE,,FALSE,,,
60431277627,JDHB16005,Amy Wei,wholesale backpack,8.28,8.28,60431277627,FALSE,FALSE,FALSE,FALSE,729,27,330
60431277627,JDHB16005,Amy Wei,fashion backpack,,,,FALSE,FALSE,FALSE,FALSE,1121,100,180
60410106606,JDYB15054,Amy Wei,key case,2.19,2.19,60410106606,FALSE,FALSE,FALSE,FALSE,432,10,180
60410106606,JDYB15054,Amy Wei,leather key case,2.08,2.08,60410106606,FALSE,FALSE,FALSE,FALSE,179,2,120
60425281714,JDCH13013,Amy Wei,cool kids belts,1.06,1.06,60425281714,TRUE,FALSE,,TRUE,,,
60425281714,JDCH13013,Amy Wei,fashion kids belt,4.15,1.06,60165545840,TRUE,FALSE,,TRUE,,,
60425281714,JDCH13013,Amy Wei,lovely kids belt,1.04,1.04,60425281714,TRUE,FALSE,,TRUE,,,
60425430387,JDHB16004,Amy Wei,fur bag,1.19,1.19,60425430387,FALSE,FALSE,FALSE,FALSE,87,1,90
60425430387,JDHB16004,Amy Wei,fake fur bag,1.03,1.03,60425430387,FALSE,FALSE,,TRUE,,,
60425430387,JDHB16004,Amy Wei,fur bag women,1.41,1.41,60425430387,FALSE,FALSE,,FALSE,,,
60426998203,JDYB16006,Amy Wei,personalized leather business card holder,1.09,1.09,60426998203,FALSE,FALSE,,FALSE,,,
60426998203,JDYB16006,Amy Wei,personalized leather card holder,1.1,1.1,60426998203,FALSE,FALSE,,FALSE,,,
60426998203,JDYB16006,Amy Wei,custom card holder,1.21,1.21,60426998203,FALSE,FALSE,FALSE,FALSE,254,8,21
60426167582,JDHB15065,Amy Wei,ladies handbag sale,,5.01,60367995587,FALSE,FALSE,,FALSE,,,
60426167582,JDHB15065,Amy Wei,cheap handbag,,1.29,60376810598,FALSE,FALSE,,FALSE,,,
60426167582,JDHB15065,Amy Wei,wholesale handbag,,1.25,60373442378,FALSE,FALSE,,FALSE,,,
60377145901,JDHB15037-2,Amy Wei,factory direct designer handbag,1.07,1.07,60377145901,TRUE,FALSE,FALSE,TRUE,221,2,70
60377145901,JDHB15037-2,Amy Wei,free sample handbag,1.1,1.1,60377145901,TRUE,FALSE,FALSE,FALSE,59,0,120
60377145901,JDHB15037-2,Amy Wei,morocco leather handbag,1.04,1.04,60377145901,TRUE,FALSE,,TRUE,,,
60142125112,JDYB14066,Eva Zhu,lady wallet,,1.27,60452082189,TRUE,FALSE,TRUE,FALSE,838,62,510
60142125112,JDYB14066,Eva Zhu,lady wallet wholesale,1.14,1.14,60142125112,TRUE,FALSE,,FALSE,,,
60142125112,JDYB14066,Eva Zhu,cute lady wallet wholesale,1.25,1.25,60142125112,TRUE,FALSE,,FALSE,,,
60319173642,JDQT001,Ivy Luo,tool belt,1.07,1.07,60319173642,TRUE,FALSE,TRUE,TRUE,138,9,360
1391898772,JDLA13167,Ivy Luo,polo belt,1.04,1.04,1391898772,TRUE,FALSE,FALSE,TRUE,45,2,210
1547460111,JDLA13349,Ivy Luo,needlepoint belt,1.05,1.05,1547460111,TRUE,FALSE,FALSE,TRUE,63,6,120
1789948886,JDLA15044,Ivy Luo,beaded belt,1.07,1.07,1789948886,TRUE,FALSE,FALSE,TRUE,127,6,80
60033609256,JDLA13316,Ivy Luo,metal belt,1.06,1.06,60033609256,FALSE,FALSE,FALSE,TRUE,202,15,240
60033609256,JDLA13316,Ivy Luo,gold metal belt,1.06,1.06,60033609256,FALSE,FALSE,FALSE,TRUE,63,2,80
60033609256,JDLA13316,Ivy Luo,gold metal waist belt,1.06,1.06,60033609256,FALSE,FALSE,FALSE,TRUE,100,0,23
60072109103,JDMA14021,Ivy Luo,double d ring canvas belt,1.06,1.06,60072109103,FALSE,FALSE,,TRUE,,,
60072109103,JDMA14021,Ivy Luo,mens canvas belt,1.06,1.06,60072109103,FALSE,FALSE,,TRUE,,,
60165545840,JDCH13006,Ivy Luo,polyester belt,15.01,1.12,60447048332,FALSE,FALSE,TRUE,FALSE,279,10,60
60260087304,JDKF15004,Ivy Luo,travel wallet,1.19,1.19,60260087304,TRUE,FALSE,TRUE,FALSE,572,40,750
